Employer Name,Review Link,Job Title,Review Date,Review City Name,Review State Name,Current Job,Overall Satisfaction,Career Opportunities,Compensation & Benefits,Senior Leadership,Work-Life Balance,Culture & Values,Business Outlook,Recommend to Friend,CEO Approval,Pros,Cons,Advice to Sr. Management,Headline
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW4230979.htm,Sales,5/15/2014,Chicago,Illinois,No,2,2,4,2,3,3,Getting Worse,No,Disapprove,"Good benefits, Brand Recognition, and many good people","Management is out of touch with their people, especially in the Sales arena.  Processes such as Salesforce,  have been implemented so poorly that using them actually make the sales, account management, order fulfillment, and billing effort more difficult and far less efficient.  The company is also very poor at developing career paths for their employees.","Make a better effort in recognizing that many of your long-standing employees actually ARE valuable, possess needed experience, clearly demonstrate loyalty, and really do add to the long term success of the company.",A Rudderless Ship
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW4210254.htm,Systems Engineer,5/12/2014,Gurgaon,Haryana,Yes,4,4,3,4,4,4,Getting Better,Yes,Approve,"good worklife balance
cab facility for 6-2 and 2-10 but not for general shift and even no parking facility as it depends on the level and role","no parking facility
strictly follows goals",nothing i faced till now,Till now its good to work here
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW4186967.htm,Software Engineer,5/7/2014,Hyderābād,Andhra Pradesh,Yes,3,3,4,2,3,4, , ,No Rating,"No hidden Salary deduction
Work Enviornment is good.
Good Exposure.
Hard work is somewhat recognized.","Mostly maintenance jobs.
Hike is not good if you are from good col.", ,Good company to start.
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW4093648.htm,Asset Management Executive,4/21/2014,Dubai,Dubai,No,5,5,3,5,4,4, ,Yes,No Rating,The advantages to work with capital iq is you are free to learn all aspects of financial statements practically how a data can be processed by the people manually which was i think the best part of the company and i got the the best working staff there all employees whether they are senior or manager level very cooperative and supportive now coming to the compensation they were giving a satisfactory remuneration  to all employees as per there work load and talent.,The only con which i felt was working in shifts specialty night shifts was hard to awake all night and processing difficult data it provokes errors also .,I do not think a year is enough to provide  any advice or suggestion to any big organisation .,I worked there for net one year and during my period i have learned a lot about finance .
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW4091698.htm,Senior Sales Associate,4/21/2014,New York,New York State,No,3,0,0,0,0,0, , ,No Rating,Great co-workers and a fun working environment.  Products are ones that clients need and see the value in.  401k match is good.,Are not a sales organization and therefore treat sales people like nuisances.  Managers have a tendency to manage to their superiors instead of in support of those reporting to them., ,Good for a while
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW4069822.htm,Senior Sales Associate,4/16/2014,New York,New York State,Yes,3,3,3,4,5,5,Getting Better, ,Disapprove,"great culture, great people, great work/life balance.",upper management doesn't have a good handle on where to take things., ,"overall, positive; but after almost five years it has become hard to justify staying"
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW4066592.htm,Research Associate,4/16/2014,Hyderābād,Andhra Pradesh,Yes,4,3,3,4,5,4,Staying the Same,Yes,No Opinion,"Good working environment, Learn Basics",Lack of Opportunity & Growth, ,Nice place to start your career in Financial Industry
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW4062072.htm, ,4/15/2014, , ,Yes,3,2,4,2,4,3,Staying the Same,Yes,No Opinion,Backing of the S&P name,No good career path options, ,S&P Capital IQ
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW4041792.htm,Research Associate,4/11/2014,Gurgaon,Haryana,Yes,3,3,4,2,3,3,Staying the Same,No,No Opinion,"Good Pay
Healthy Work Life Balance","Slow Growth
Lack of learning oppurtunities",strong requirement of introducing learning and knowledge improvement of employees,Good Pay master - healthy work life balance
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW4039832.htm,Software Engineer,4/10/2014,Hyderābād,Andhra Pradesh,Yes,3,3,2,3,4,4,Getting Better,Yes,No Opinion,"Work culture, Independence at work, Flat Hierarchy","Recent changes in compensation model, Sticking to older technologies", ,Emerging as one of the big players in Financial markets
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW3992851.htm,Senior Associate,4/3/2014,Gurgaon,Haryana,Yes,4,3,4,3,5,4,Staying the Same,Yes,Approve,You can work here at easy pace. Good Male-Female Ratio. Healthy Work Environment. It is a safe place to work for long years without many worries.,"No growth options due to absence of good quality work. Promotions are very difficult (almost negligible) after a certain level.

Redundant  Work in most cases.",Please provide better growth options to employees. The current policy is not healthy for employees. It will boost the morale of the people.,Nice Place to work with Slow Pace of Growth
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW3963835.htm, ,3/29/2014, , ,Yes,3,2,4,2,3,0,Getting Worse,No,No Opinion,"- work-life balance
- compensation
- work environment
- casual dress-code
- nice and friendly people
- good reputation, big company name

This is a good place if you are waiting for retirement","- Job can be repetitive, boring
- Lack of training available
- Lack of career path visibility
- Lack of process/structure in development, release management, testing, QA
- Culture is too relax and laid back
- Nobody seems to care about deadlines", ,OK if you don't plan on growing your skills
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW3843616.htm, ,3/10/2014, , ,Yes,2,3,3,1,3,3,Staying the Same,No,Disapprove,"The team you work with becomes like family. Depending on the department and manager, they can be extremely flexible with you in terms of working from home.  There are also some great travel opportunities, depending on your position.","Too many changes. The company is confused with who they are and who they want to be.  Nothing fulfilling about your everyday work. There are no straight duties for your job description, they are always changing while you take on more responsibility and your salary remains close to the same .","Upper management needs to really look at the bigger picture, they are so focused on the client that they ignore the employees that gather and retain the clients.  There is also a lot of decisions made without consulting the people those decisions affect. Advice would be to listen to your employees, they can also have great ideas!","Great job right out of college, not much beyond that"
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW3842431.htm,Financial Analyst,3/10/2014,Hyderābād,Andhra Pradesh,No,4,4,4,5,4,5,Getting Better,Yes,Approve,"Good Salary, best employment facilities","nothing, no need to specify small issues which will be everywhere.",The Management is very Expertise no need any suggestions,Best Working condiation
S&P Global Market Intelligence,http://www.glassdoor.com/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW3835881.htm,Analyst,3/8/2014,New York,New York State,Yes,4,4,3,3,4,4,Getting Better,No,Approve,"Atmosphere, people, and software are great",Busy Manhattan office is really busy, ,Excellent Work Environment
