All reviews for SNL Financial as of 2019-12-01 20:10 PST. (No filters were used to create this file.)
# -------------------------------------------------------
# Employer's Name: SNL Financial
# Content: Glassdoor Reviews
# All Reviews through 2019-11-30
# -------------------------------------------------------
Employer's Name,Review Link,Job Title,Review Date,Review City/Town Name,Review State Name,Review Country Name,Current Job,Length of Employment,Employment Status,Overall Satisfaction,Career Opportunities,Compensation & Benefits,Senior Leadership,Work-Life Balance,Culture & Values,Business Outlook,Recommend to Friend,CEO Approval,Pros,Cons,Advice to Sr. Management,Headline,Employer Response
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW7553998.htm,Client Services,2015-08-12,Charlottesville,Virginia,US,Yes,More than a year, ,3.0,3.0,3.0,2.0,1.0,2.0,Getting Better,Yes,Approve,"Travel, Compensation, casual attire, decent PTO, I like my manager and director, good product","no work life balance, health benefits, no maternity leave",Provide a better work/life balance. Better health benefits are needed. Goals need to be given prior to the new year to help set us up for success.,Good and Bad, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW7473726.htm,Senior Analyst,2015-08-05, , , ,No, ,Full-time,4.0,3.0,3.0,4.0,3.0,4.0,Getting Better,Yes,Approve,Good company to work for.,Favoritism is very much revolving in most departments.,Keep a regular check on the professional needs of employees so that favoritism is avoided.,Senior Analyst, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW7469553.htm,Sales,2015-08-05, , , ,No, ,Full-time,5.0,4.0,4.0,4.0,4.0,5.0,Staying the Same,Yes,Approve,Co-workers are fun and very smart,Always being asked to do more, ,"Fast-paced company, constantly setting the bar higher", 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW7469074.htm,Senior Analyst,2015-08-05,Ahmedabad,Gujarat,India,Yes,More than 3 years,Full-time,5.0,5.0,4.0,5.0,5.0,5.0,Getting Better,Yes,Approve,"Friendly team, Very Transparent management & the environment to think out of the box. You are encouraged to come up with suggestions that can help the company to improve and those are implemented as well.",None at all. Very happy to be here.,Nothing.,Best Company to be, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW7448372.htm,Financial Analyst,2015-08-03,Ahmedabad,Gujarat,India,No, , ,3.0,2.0,4.0,2.0,3.0,4.0,Getting Better,Yes,Approve,One of the Best and friendly environment of company,lots of politics and favouritism.,Reward only to best employees,Good to start with Co., 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW7417812.htm, ,2015-07-31,Islamabad,Islamabad,Pakistan,No, , ,3.0,3.0,4.0,3.0,4.0,4.0,Staying the Same,Yes,Approve,Flexible timing and good salary,There is alot of politics, ,Good place to work, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW7414092.htm,Content Manager,2015-07-31,Charlottesville,Virginia,US,No,More than a year,Full-time,1.0,1.0,1.0,1.0,1.0,1.0,Getting Worse,No,No Rating,There's a single AD who cares about the welfare of his team.,Terrible management. Zero career growth., ,Content Manager, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW7377460.htm,Analyst,2015-07-28,Denver,Colorado,US,Yes,Less than a year, ,5.0,5.0,5.0,5.0,5.0,5.0,Staying the Same,Yes,Approve,"Great company to work for, offers competitive wages, great team",Provide free parking for employees, ,Great place, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW7353725.htm, ,2015-07-26, , , ,Yes, , ,5.0,5.0,5.0,5.0,5.0,5.0,Getting Better,Yes,Approve,Great experience working with large investment banks,lots of administrative wok and bureaucracy, ,Good company for entry level job, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW7295301.htm,Senior Analyst,2015-07-21,Ahmedabad,Gujarat,India,Yes,More than 5 years,Full-time,5.0,4.0,4.0,4.0,5.0,5.0,Getting Better,Yes,Approve,The working environment is the best. SNL do justice by paying right amount to current employees.,I do not see any cons with this company.,Should recruit correct person in the company,One of the best companies, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW7267214.htm,Process Expert,2015-07-18,Charlottesville,Virginia,US,No,More than 3 years,Full-time,3.0,4.0,2.0,4.0,4.0,4.0,Getting Better, ,Approve,"Learning opportunities, leadership opportunities, Potential for responsibility,","Experience is dependent on your manager, Pay doesn't match with level of skill and effort until management level.", ,Process Expert, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW7248016.htm, ,2015-07-16,Ahmedabad,Gujarat,India,Yes, , ,2.0,3.0,2.0,2.0,3.0,4.0,Getting Better,Yes,Approve,"Atmosphere, Infrastructure, Global Touch & Fresher's launch","Growth, Internal conflicts, Cross offices disputes.", ,Financial Analyst, 
SNL Financial,http://www.glassdoor.co.in/Reviews/Employee-Review-SNL-Financial-RVW7229104.htm,Senior Analyst,2015-07-14,Ahmedabad,Gujarat,India,Yes,More than 3 years, ,4.0,4.0,4.0,3.0,1.0,3.0,Getting Better,Yes,Approve,Really good company to work with. You can grow yourself within organization. Lots and lots of opportunities if you stand up the challenge.,No work-life balance. If you are in client hit department you are on disadvantage as you will probably receive more hits than anyone else., ,Senior Analyst, 
