All reviews for S&P Global Market Intelligence as of 2019-09-17 22:36 PDT. (No filters were used to create this file.)
# -------------------------------------------------------
# Employer's Name: S&P Global Market Intelligence
# Content: Glassdoor Reviews
# All Reviews through 2019-09-16
# -------------------------------------------------------
Employer's Name,Review Link,Job Title,Review Date,Review City/Town Name,Review State Name,Review Country Name,Current Job,Length of Employment,Employment Status,Overall Satisfaction,Career Opportunities,Compensation & Benefits,Senior Leadership,Work-Life Balance,Culture & Values,Business Outlook,Recommend to Friend,CEO Approval,Pros,Cons,Advice to Sr. Management,Headline,Employer Response
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28157553.htm,Data Researcher-2,2019-07-22,Ahmedabad,Gujarat,India,No,More than 3 years,Full-time,5.0,4.0,4.0,4.0,5.0,5.0, ,Yes,No Rating,"Wok Atmosphere is very friendly.
Two times bonus a year and one appraisal
Training and facilities are very good","Company is having presence only at Ahemdabad, Gurgao, Hydrabad in India", ,Friendly Company To Work, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28150589.htm,Sales,2019-07-21, , , ,Yes, ,Full-time,3.0,3.0,3.0,2.0,4.0,2.0,Staying the Same,No,Approve,"Easygoing environment, great work-life balance",Unorganized and constant structural changes that lead to high turnover. Numerous people that should have been dismissed seem to survive and get promoted to management roles if they align themselves with right people. Not meritocracy driven,Employment survey is useless if no action gets taken afterwards,Could be a good place for you to work depending on what it is that you're looking for, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28090841.htm,Functional Associate,2019-07-18,Hyderabad,Telangana,India,Yes,More than a year,Full-time,3.0,4.0,3.0,3.0,5.0,4.0, , ,No Rating,Wonderful work culture especially for women with exposure to global technology and transparency between upper management and lower management,Underpaid employees as low attrition with lot of bureaucracy at parent company level., ,Functional associate, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW28048372.htm,Data Researcher II,2019-07-16,Ahmedabad,Gujarat,India,No,More than a year,Full-time,3.0,3.0,2.0,3.0,4.0,4.0, , ,No Rating,"It's a good place to work, Work life balance is good, Management support is there.",There is a Monotonous Work., ,Data Researcher II, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW27914318.htm, ,2019-07-10, , , ,Yes, ,Full-time,4.0,3.0,3.0,5.0,5.0,5.0, , ,No Rating,"work life balance, good management, environment, learnings","salary not at par, Slow progression", ,review, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW27862317.htm,Sales Associate,2019-07-08,Charlottesville,Virginia,US,Yes,More than 3 years,Full-time,4.0,3.0,4.0,4.0,5.0,4.0,Getting Better,Yes,No Opinion,"Work life balance, culture, pay,","Advancements in career, too many middle managers",none,Great For Out of College, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW27807440.htm, ,2019-07-04, , , ,Yes, ,Full-time,4.0,2.0,4.0,3.0,3.0,4.0,Getting Better,Yes,Approve,"dental, gym and generous annual leave",less career opportunities as the team in China is small, ,Benefit, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW27801777.htm,Data Researcher,2019-07-04,Hyderabad,Telangana,India,Yes,More than 3 years,Full-time,3.0,5.0,5.0,4.0,1.0,4.0,Getting Better,Yes,Approve,"Good compensation
Team outings
Lots of opportunities for career growth",Not flexible timings due to business requirements, ,Data researcher, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW27795561.htm,Senior Software Developer,2019-07-04,Islamabad,Islamabad,Pakistan,No,More than 5 years,Full-time,4.0,5.0,5.0,2.0,4.0,5.0,Getting Better,Yes,Approve,"- good benefits like health insurance, parents, up to 10% provident fund, life insurance, around 40 leaves per year
- easy to manage both work and life
- relaxed environment
- good office culture","- politics and leg pulling
- all you do good is forgotten and one mistake gets noticed and brought up in review meetings
- other than your scrum work, you have to do a lot of other things to stand standout compete for the next role due to bell curve relative cross geography calibration of employee's performance","- Lets the individuals innovate and reward them better.
- appreciate the employee's good initiatives
- For managers trust your employees and give them room to think and innovate, dictation does not always works",Work life balance  and good perks, 
S&P Global Market Intelligence,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW27783515.htm,Senior Data Researcher I,2019-07-03,Islamabad,Islamabad,Pakistan,No,More than 8 years,Full-time,5.0,4.0,5.0,3.0,3.0,5.0,Getting Better,Yes,Approve,"Best Working environment, Good Salary Package, Best Learning and Development","No job security, no competitor in market",Transparency not just in words things must be transparent when we say we're having transparency in an organization.,Disappointed End of loyalty with the Organization, 
