Employer's Name,Review Link,Job Title,Review Date,Review City/Town Name,Review State Name,Review Country Name,Current Job,Length of Employment,Employment Status,Overall Satisfaction,Career Opportunities,Compensation & Benefits,Senior Leadership,Work-Life Balance,Culture & Values,Business Outlook,Recommend to Friend,CEO Approval,Pros,Cons,Advice to Sr. Management,Headline,Employer Response
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW11786281.htm, ,9/3/2016,London,England,UK,No, , ,3,2,2,2,4,4,Staying the Same,No,No Opinion,Nice offices in a great location. Work life balance is usually good for support staff. Great colleagues and some good managers. A company undergoing large changes makes it interesting and hopeful for something better,Very little career progression and high turnover of staff which has led to the staff generally being inexperienced with few people having the necessary knowledge. Hard working colleagues are kept on fixed-term contracts instead of giving permanent work and salaries kept on the minimum. Periods of very heavy workload and staff not experienced enough to handle it.,"For non-analytical staff the career prospects are non-existent. Staff needs to be aware of the possibilities there are. Several managers have a disrespectful tone towards junior staff, a change in attitude is necessary. The scope of the work is ever-changing and confusing and needs to be clarified.",High turnover and no career progression for support staff, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW11691570.htm,Associate,8/25/2016,New York,New York State,US,No,More than 3 years,Full-time,2,2,2,3,4,3,Staying the Same,Yes,No Opinion,Good work-life balance. Interesting job for undergrads. Nice people. Nice office. Great building and neighborhood. I generally like the people I work with.,"Low pay for analyst and associates. They seem to lose lots of bright young people because of this, and sadly, they don't seem to care. A questionable (brand new) 3-yr rotation program for undergrads tries to emulate IB but doesn't pay nearly as much. Just a way to cut costs... It's lost much brain power and experience with the departure of many, many senior analysts. Sure - margins look better and investors are happy, but the last time I checked, a professional service company's key asset is its talents...  Slower promotion for junior level staff (compared to a few years ago). HR is rude and unprofessional - train your HR to be nicer because HR is your company's face to all future employees.",Show you care about people by giving the right incentive. Train your HR to treat all potential employees with basic respect. Don't be a bigot.,Alright, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW11681728.htm, ,8/25/2016,New York,New York State,US,No, , ,1,1,1,1,4,1,Getting Worse,No,No Opinion,The company has a good work like balance culture,No support from management. Analyst role is a series a check the boxes. Analytical rigor is put in the back burner. Not mentally stimulating. Pay is low. The financial systems are outdated., ,Rating S&P Gobal, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW11654900.htm, ,8/23/2016, , , ,Yes, ,Full-time,4,3,3,3,5,3,Getting Better,Yes,Approve,You can decide your work life balance yourself,Not top pay as you can work short days if you'd like.,Make promotions more transparent,Good balance, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW11563187.htm, ,8/15/2016, , , ,No, ,Full-time,1,1,3,1,3,1,Getting Worse,No,No Rating,"Good pay, great location in London, UK. Nice office. I can't find anymore pros to fill out this '20 word minimum' section.","Alot of the managers are more about ego than capability to carry out what they are employed for and there is very little focus on managing their team fairly and appropriately. 

Extremely high staff turnover.","Treat people as they are humans, don't judge people according to their positions, loose the egos, when you are told that someone is not being treated fairly, deal with it appropriately and don't ignore it.","Standard and Poors, London", 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW11493115.htm,Computer Programmer,8/8/2016,New York,New York State,US,No, , ,5,4,2,4,2,3,Getting Better,Yes,Approve,"Always learning something new 
Many opportunities to upgrade your skillsets
innovative culture
great benefitsand health plans/401k","Lots of work and responsibility.
Work/life balance
Average compensation",Keep up the good work,Great place to work for programmer, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW11490038.htm,Data Research Analyst,8/8/2016,Centennial,Colorado,US,No,More than a year,Full-time,3,2,2,2,4,4,Getting Worse,No,Disapprove,Nice work life balance. Relaxed dress code. Ability to work from home.,This position has a very archaic training structure. Departments are very much separate and siloed.,This department needs a complete restructure. Training methods are obsolete and mentors are left to train incoming analysts without much help or guidance from management.,Data Research Analyst, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW11440640.htm,Research Assistant,8/3/2016,Melbourne,Victoria,Australia,Yes, ,Full-time,1,1,2,3,2,1,Getting Worse,No,Approve,Some interesting work. Good place to pick up credit analysis knowledge. Better hours than banks.,"Stagnant, overly political and bureaucratic culture. Does not foster nor encourage innovation. Meritocracy does not exist on any level, whatsoever. 

Favourtism is also very evident in certain teams. Some managers lack consistency in their standards as well as their professional demeanor. 

Poor facilities, old computers, terrible lighting, chairs that will guarantee you back problems.

A lot of old timers with a fragile ego. The culture is not very friendly to ambitious juniors. 

Way too many useless meetings.

Juniors are expected to drink the koolaid (eat up the propaganda).",Foster a culture of openness. There are way to many two faced backstabbing morons trying to jockey for very limited promotions.,Research Assistant, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW11261675.htm, ,7/16/2016,New York,New York State,US,No, , ,3,0,0,0,0,0, , ,No Rating,"People are generally nice, act professionally, and are not too aggressive.  Culture promotes a balance between work and personal life.","Politics and consensus rule, which fosters a lack of agility.  Way too many meetings. The combined effect is s stiffling of entrepreneurial spirit","The situation: S&P has a brand name which affords huge value, as well as an infrastructure and senior management built over several decades.  Consequently,  senior management needs to to shake things up just the right amount--enough to thrive going forward without disrupting existing business.",It's a living, 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW11177781.htm,Intern,7/8/2016,London,England,UK,Yes,Less than a year,Intern,5,4,4,5,5,5,Getting Better,Yes,Approve,"Good company to work for, very good life balance, good organization and tasks are not boring at all. Senior people are very friendly.",It is not that clear what happens after having finished the graduate program. It is not 100% sure that there is a clear path to grow.,The company is very well run and they are starting the recruiting period earlier so that they are able to attract the best talents.,Summer intern, 
