"","X1","pros_page1","pros_page_rating_value"
"205",24,"* Outstanding company to work for in terms of aptitude of people, healthy office culture, investment in product development and quality of product, relentless high touch focus on the customer. All the benefits you might expect from a global FinServ firm. 401k match, quality healthcare benefits, generous vacation time, in-office perks etc.

* Generous base salary especially through career progression and... out-performance. Sales bonus compensation is not directly tied to target/quota achievement making for a much more consultative, relationship based and less aggressive sales environment for clients. Qualitative / culture based metrics ensure high performance is not only based on quota, territory etc.

* Move towards more of a dollar quota culture in recent years is positive. Especially for Bloomberg terminal core sales staff this presents an opportunity to become a true enterprise account executive, versus traditionally selling units / terminals. This in turn becomes a more transferable experience. The high calibre sales people at Bloomberg I know of have embraced this change.

* Exceptional sales support network for post sales client support from the Analytics department and wider product/support groups. This takes admin-weight off sales significantly and has improved massively over the last 5 years. 

* Whilst a healthy pressure exists to hit quota, Bloomberg sales is not a cut-throat sales environment like e.g. Salesforce. This promotes a much healthier, collaborative working environment where sales are not stepping on each other. There is monetary recognition of collaboration and other BBg culture metrics.

* Strong culture of internal promotion especially into leadership positions -most of which are filled through home-grown talent. For me personally this was recognized through generous compensation at each stage. Still a concerning lack of female talent promoted to sales management, despite recent efforts to change this.","2.0"
"206",24,"Ethos, Benefits, Flexibile Working, Colleagues","3.0"
"207",24,"Prime office location, very nice office. Plenty of free snacks / breakfast / lunch and many activities.","5.0"
"208",24,"Great workplace, positive people. Great work-life balance.","3.0"
"209",24,"Great culture and open opportunity. People are so hardworking and willing to help. Managers are very positive to your future plans.","5.0"
"210",24,"Flat communications. No bossy employee that I found in the office. Everyone was very friendly even in different dep people","4.0"
"211",25,"Viagens internacionais pagam para qualquer funcionário em business class. Hotel cinco estrelas, cartão de crédito para despesas, kitchen para café da manhã e petisco, excelente edificio estrutura excepcional","4.0"
"212",25,"Great benefits and people and amazing place to work if you are good at networking","5.0"
"213",25,"Good company and offer good salary","2.0"
"214",25,"Lots of opportunities for projects, great compensation package, lots of perks in the office","4.0"
"215",25,"good office environment, techonology driven,young teams","2.0"
"216",25,"Bloomberg is a great place to work...if you're in the right department","3.0"
"217",25,"Great work environment. Great boss","5.0"
"218",25,"Potential to be more dominant than it already is.","3.0"
"219",25,"You will be learning new things","5.0"
"220",25,"relatively good compensation compared to others","4.0"
"221",26,"Development and company culture. Work and life balance.","4.0"
"222",26,"Fast moving
You will learn at your own pace","5.0"
"223",26,"Good pantry, good health insurance","2.0"
"224",26,"Pay/benefits are great. The company is innovative and well-funded. The culture of philanthropy makes it worthwhile to go to work.","4.0"
"225",26,"The benefits and unlimited snacks
Free Health care
Competitive 401k","2.0"
"226",26,"An AMEX with unlimited spend on business trips - which they will make you do a lot of unless you are on the helpdesk or get one of the coveted London based roles which are like gold dust","3.0"
"227",26,"If you're interested in current affairs/ news and technology you can go in-depth and learn a lot. The job gives as much as you're willing to take from it; it's a fast-past and stimulating place to work.","5.0"
"228",26,"Great building, nice package such as health insurance options, etc.","3.0"
"229",26,"* Free Snacks
* Free Soup
* Beautiful Pantry
* HealthCare Benefits (BWELL)","5.0"
"230",26,"good work-life balance and benefits","4.0"
"231",28,"Benefits are outstanding, from medical to 401(k) match to vacation and some very nice colleagues, but the bloom falls off the rose after a few months at a firm whose original editorial chief built a culture of fear, an intense 10+ hour workday and a style that condones uniformity. Editorial folks' comp is good vs. what else is out there, and why many never want to leave.","4.0"
"232",28,"Good dynamic and good place to learn. Good benefit","5.0"
"233",28,"Open culture
Good work life balance
Excellent health benefits
Free drink and snacks","2.0"
"234",28,"Good perks, company culture and environment.
Good salary, quick raise at the beginning 
Broad marke exposure, good training","4.0"
"235",28,"Good salary, good benefits, open environment","2.0"
"236",28,"Amazing buildings, smart people, global reach, great added benefits, and philanthropic investment.","3.0"
"237",28,"Great product, good support structure, dependable colleagues, global firm with strong presence","5.0"
"238",28,"Fantastic benefits, including full health coverage and generous 401k match","3.0"
"239",28,"good pay, good environment, friendly colleague","5.0"
"240",28,"Good compensation and health plan for employees and dependents, nice balance work/life balance and tons of opportunities within the company, diversity. I always had very good managers.","4.0"
"241",29,"Good compensation and health plan for employees and dependents, nice balance work/life balance and tons of opportunities within the company, diversity. I always had very good managers.","4.0"
"242",29,"Friendly colleagues, might meet interesting clients, decent salary. Nearly impossible to get fired","5.0"
"243",29,"Working for mike Bloomberg, great benefits and pay","2.0"
"244",29,"good benefits, amazing offices, great health insurance, work with really smart people, lots of travel","4.0"
"245",29,"- everyone is generally very willing to help each other 
- good working hours 
- generous insurance scheme and 401K
- generous pay rises if you perform","2.0"
"246",29,"Pantry & company benefits are very generous. People around you are very friendly. A great place to make friends","3.0"
"247",29,"opportunities open to employees. job swaps, relocation available. great work/life balance","5.0"
"248",29,"Good pays, great benefits, nice office space, good colleagues","3.0"
"249",29,"If you're young, it will prepare you and help you get a job elsewhere.","5.0"
"250",29,"Very dynamic environment
flat hierarchy
easy to develop your career across different roles","4.0"
"251",30,"- great benefits 
-hours are reasonable
- the younger employees are highly motivated and intelligent","4.0"
"252",30,"collaborative place to work I would say","5.0"
"253",30,"Good opportunities for work progress. Great training.","2.0"
"254",30,"High compensation and job security compared with other media jobs. You have resources needed to do job well, brand gives access to sources, stories get high visibility. Generally work along talented colleagues.","4.0"
"255",30,"OK benefits (Healthcare is not too bad, pension plan is medium, holidays are fairly good)","2.0"
"256",30,"Good office and working environment","3.0"
"257",30,"Ótima empresa para se trabalhar, como entry level é ótimo por ter a oportunidade de participar de projetos e desenvolver diferentes habilidades. Para a efetivação é bastante difícil.","5.0"
"258",30,"Dynamic, open environment with good work life balance.","3.0"
"259",30,"Open culture and knowledge sharing 
People
The company donates huge amount of profits to good causes
Interesting projects 
Great Benefits","5.0"
"260",30,"They really look after their employees with fully-stacked pantry, company socials, annual summer party, top-end insurance and other benefits","4.0"
"261",31,"They really look after their employees with fully-stacked pantry, company socials, annual summer party, top-end insurance and other benefits","4.0"
"262",31,"Pay and benefits
Free food, snacks etc","5.0"
"263",31,"A lot of bright people working with you or near you, agile is growing in the company, good work environment, nice desks, there is the pantry, which is really nice, view to St Pauls, nice perks, many courses to learn new things, in most teams a relaxed environment, you work for someone much better than Trump.","2.0"
"264",31,"Very philanthropic company. Encourages open communication. Pays at par with other big tech firms.","4.0"
"265",31,"Competitive salaries, great benefits (health, 401K), good offices","2.0"
"266",31,"Adequate salary
Good benefits
Excellent office environment","3.0"
"267",31,"- Great Training! Expect at least 2-3 months of classroom training on everything from the basics of financial markets to the most advanced topics of Fixed Income and Equity derivatives
- Provides amazing insight into giving a good customer experience
- Coworkers are absolutely amazing loved my class of peers
- Great experience in working with high level customers
- Awesome resume builder (don’t stay at Bloomberg for... more than 3 years)","5.0"
"268",31,"Great health insurance.   Larger company has performed well.","3.0"
"269",31,"I have knowledge about research and I like to research so I chose this","5.0"
"270",31,"Work culture is something unique.
Flat management structure.
Nice colleagues","4.0"
"271",32,"Very flexible daily working style","4.0"
"272",32,"Global Mobility, Lots of career opportunities to explore","5.0"
"273",32,"Good pay, good food and good people","2.0"
"274",32,"Good training program for new grads, good work-life balance","4.0"
"275",32,"salary, people, location,  training,  technology","2.0"
"276",32,"Great benefits, work life balance not so bad","3.0"
"277",32,"good culture, well training and pension fund plan.","5.0"
"278",32,"- Great salary/bonus
- Pantry with lots of food and drinks
- Lots of people to network with
- Beautiful office","3.0"
"279",32,"Health Benefits. Open and transparent office.","5.0"
"280",32,"flat structure, interesting and competent colleagues, good salary and benefits, opportunities for advancement","4.0"
"281",33,"- Pantry
- Nice office in central location","4.0"
"282",33,"Open cultural, places to learn knowledge, experiences","5.0"
"283",33,"Long term thinking and investing in products coming from the philosophy of the major share holder","2.0"
"284",33,"Food, Health Care, Snacks, Early bonuses, Early raises.","4.0"
"285",33,"Free food in pantry; good healthcare benefits","2.0"
"286",33,"Flat, Diversity and great work life balance","3.0"
"287",33,"Caveat that your entire experience like any large company depends on what department and seniority you hold. My review for pros and cons centers on experiences in the financial products realm, not engineering, news or media. In terms of pros, Bloomberg has some great, really good, and good things going for it. 
 
There are some genuinely talented, smart people who when given the chance can do some great work. The... culture and environment is extremely energised and lively, and there is always a buzz in any of the top notch global offices. The Bloomberg Way of start executing, building, or doing first and figure out as you go along can be very powerful (but also detrimental as outlined in cons). 

The benefits are overall generally strong (especially in the US with no healthcare premiums) but not over the top. Some great cultural benefits and partner programs. 

Philanthropy is a huge part of the company and there are numerous ways to feel a part of that. The majority of company profits do go to funding Mike Bloomberg's philanthropic initiatives, which if you are aligned with those (like me) then it's great. There are also weekly (if not daily)  ways to get involved in countless other volunteering initiatives.","5.0"
"288",33,"Salary! BB pays very well. This is the first company I've been at that actually makes good on their promise of a bonus as well.  It's very stable here. This is NOT a hire / fire culture. They vet for the best and make every effort to make you successful in the company. If a team dissolves, they will work with you to find a new team - at least for engineers. The work from home capabilities are decent. You can wear... whatever you want. Literally. Before I joined I thought BB was a stiff-necked cross between a bank and hedge fund. Nope. I was happily mistaken. They have fresh fruit, free soup, tons of coffee, and snacks for free - daily. Oh, and every office is littered with tons of exotic salt & fresh water tanks. Like, they're everywhere. It's beautiful.","3.0"
"289",33,"- Great work life balance
- Lots of interesting problems
- Fast paced
- Great emphasis on mentorship/ on-the-job training
- Fantastic perks
- Great philanthropy programs","5.0"
"290",33,"truely global environment
canteen
really care about employee welfare","4.0"
"291",34,"truely global environment
canteen
really care about employee welfare","4.0"
"292",34,"- Great benefits
- Free food and drinks in the pantry
- 20 vacation days at start of year
- Yearly Picnic event at Randall's island
- Fun people to work with","5.0"
"293",34,"- Great culture
-Lots of opportunity for growth
- Meritocracy
- Amazing Benefits","2.0"
"294",34,"Loved everything about this job","4.0"
"295",34,"Fast-paced, responsibility, interesting co-workers, good office benefits","2.0"
"296",34,"Amazing office, great ambiance and vibes, transparency, free food
If you perform well, they will invest so much in you from knowledge to mental health wise
Philanthropy
Diversity 
Great culture
Dynamic work, never dull","3.0"
"297",34,"Great atmosphere, wonderful people, excellent perks. Very good training program for fresh recruits to catch up to company operations standards.","5.0"
"298",34,"Great work space, centrally located","3.0"
"299",34,"Good name recognition, broad exposure","5.0"
"300",34,"great benefits and environment. good prospects","4.0"
"301",35,"Great benefits, culture, education, and some of the friendliest people","4.0"
"302",35,"There is free food and snacks consistently at your disposal. The organization is big on volunteering and philanthropic endeavors so working here will afford you the opportunity to make an impact on other people’s lives outside of the company. That’s the full extent of the benefits in my opinion.","5.0"
"303",35,"Great brand, people and product","2.0"
"304",35,"Excellent work environment and great team. Internal systems are well established and seamless","4.0"
"305",35,"Nice office environment 
Great salary package.","2.0"
"306",35,"Smart co-workers, great offices around the world, fast paced environment, huge philanthropic presence, generally a meritocracy","3.0"
"307",35,"Good compensation and medical care benefit","5.0"
"308",35,"Good environment and facilities (pantry)","3.0"
"309",35,"Competitive salary, good benefits; global company means you get lots of opportunities to move location/departments","5.0"
"310",35,"Good pay and benefits
Nice architecture","4.0"
"311",36,"Great culture, salary, colleagues and office","4.0"
"312",36,"Benefits are really great and work life balance","5.0"
"313",36,"World class training. Fantastic brand. Free snacks and breakfast. Put in front of clients very quickly. Given remit to run initiatives. Very fast learning curve and potential progression. Very good benefits.","2.0"
"314",36,"Flexible work hours, Amazing office","4.0"
"315",36,"Incredible products
High level of collaboration
Travelling and benefits
Office and pantry are top notch 
Good basic salary","2.0"
